                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1646,                 0.9374,                 1.1399,                0.73087,                0.60162,                 0.6722,                0.39551,                  1.513,                 1.2133,                 1.4035,             0.00061203,             0.00061203,             0.00061203
                     36,                 1.1583,                0.93278,                 1.1617,                0.72924,                0.68111,                0.70632,                0.42314,                 1.4507,                 1.1623,                 1.3748,             0.00060303,             0.00060303,             0.00060303
                     37,                 1.1403,                 0.9348,                 1.1639,                 0.7182,                0.70046,                0.72948,                0.44009,                  1.463,                 1.1766,                 1.3719,             0.00059403,             0.00059403,             0.00059403
                     38,                 1.1553,                0.90929,                 1.1388,                 0.7245,                0.63165,                0.69054,                0.41004,                 1.4924,                 1.2385,                 1.4141,             0.00058503,             0.00058503,             0.00058503
                     39,                 1.1798,                0.94676,                 1.1487,                0.77787,                0.64928,                0.70145,                0.42562,                 1.4979,                 1.2282,                   1.42,             0.00057603,             0.00057603,             0.00057603
                     40,                  1.132,                0.90696,                 1.1374,                0.77463,                0.63386,                0.69275,                0.41432,                 1.5016,                 1.1739,                 1.3991,             0.00056703,             0.00056703,             0.00056703
                     41,                 1.1348,                0.91147,                 1.1338,                0.71495,                0.64703,                0.70211,                0.42336,                 1.4715,                 1.1796,                 1.3771,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.1537,                0.91836,                 1.1615,                 0.8086,                0.60548,                0.68005,                0.39892,                 1.5059,                 1.2719,                 1.4344,             0.00054904,             0.00054904,             0.00054904
                     43,                 1.1023,                0.87842,                  1.124,                0.74143,                0.66807,                0.70932,                0.41394,                 1.4929,                 1.2364,                 1.3962,             0.00054004,             0.00054004,             0.00054004
                     44,                 1.1199,                0.84986,                 1.1158,                0.76731,                0.64027,                0.71863,                0.42169,                  1.481,                 1.1542,                 1.3841,             0.00053104,             0.00053104,             0.00053104
                     45,                 1.1265,                0.87009,                 1.1342,                0.75846,                0.64849,                0.71469,                0.42476,                 1.4846,                 1.1784,                 1.3881,             0.00052204,             0.00052204,             0.00052204
                     46,                 1.1295,                0.86902,                 1.1214,                0.81709,                0.64676,                0.72961,                0.44265,                 1.4943,                 1.1271,                 1.3927,             0.00051304,             0.00051304,             0.00051304
                     47,                 1.1288,                0.84037,                 1.1107,                0.78583,                0.63826,                0.72787,                0.44142,                  1.455,                 1.1277,                 1.3903,             0.00050404,             0.00050404,             0.00050404
                     48,                 1.0777,                0.84952,                 1.1028,                0.79042,                0.62701,                0.73368,                0.44806,                 1.4615,                  1.128,                 1.4069,             0.00049504,             0.00049504,             0.00049504
                     49,                 1.0618,                0.80692,                 1.1106,                0.82668,                0.65289,                0.74266,                0.43565,                 1.4785,                 1.1309,                 1.4159,             0.00048604,             0.00048604,             0.00048604
                     50,                 1.0918,                0.80082,                 1.0975,                0.76932,                0.68664,                0.73111,                0.43435,                  1.468,                 1.1358,                 1.3981,             0.00047704,             0.00047704,             0.00047704
                     51,                 1.0797,                0.81423,                 1.0927,                0.76377,                0.67646,                0.72905,                0.44181,                 1.4688,                 1.1227,                 1.3945,             0.00046804,             0.00046804,             0.00046804
                     52,                 1.0621,                0.78756,                 1.1044,                0.78413,                0.64434,                 0.7181,                0.44199,                 1.4766,                 1.1301,                 1.3984,             0.00045904,             0.00045904,             0.00045904
                     53,                  1.085,                0.78693,                 1.1097,                0.73797,                0.65848,                0.70909,                0.42571,                 1.4963,                 1.1734,                 1.4066,             0.00045005,             0.00045005,             0.00045005
                     54,                  1.038,                0.78488,                 1.0873,                0.80411,                0.64861,                 0.7299,                0.42855,                 1.4712,                 1.1339,                 1.3989,             0.00044105,             0.00044105,             0.00044105
